Course,Prerequisites
APMA 2130,APMA 1110 OR MATH 1320
APMA 3080,APMA 1110 OR MATH 1320
APMA 3100,APMA 1110 OR MATH 1320
CS 3205,CS 2100
CS 3250,CS 2100 AND CS 2120
CS 3501,NA
CS 3710,CS 2100 AND CS 2130
CS 4240,CS 3140
CS 4260,CS 3240
CS 4414,CS 3130 OR ECE 3430 OR ECE 3502
CS 4434,CS 3130 AND CS 3140
CS 4444,ECE 3430 OR ECE 4435 OR ECE 3502 OR CS 3100 AND CS 3130
CS 4457,NA
CS 1110,NA
CS 1111,NA
CS 1112,NA
CS 1113,NA
CS 2100,CS 1110 OR CS 1111 OR CS 1112 OR CS 1113
CS 2120,CS 1110 OR CS 1111 OR CS 1112 OR CS 1113
CS 2130,CS 1110 OR CS 1111 OR CS 1112 OR CS 1113
CS 3100,CS 2100 AND CS 2120
CS 3120,CS 3100
CS 3130,CS 2100 AND CS 2130
CS 3140,CS 2100
CS 3240,CS 3140
CS 4970,NA
CS 4971,CS 4970
CS 4980,CS 3140
CS 4991,STS 4500
CS 4998,NA
ENGR 1010,NA
ENGR 1020,ENGR 1010
CHEM 1410,NA
CHEM 1411,NA
APMA 1090,NA
APMA 1110,APMA 1090
APMA 2120,APMA 1110 OR MATH 1320
PHYS 1420,NA
PHYS 1425,NA
PHYS 2040,PHYS 2030; PHYS 2020 (co-req)
PHYS 2410,PHYS 1420 OR PHYS 1425
PHYS 2415,PHYS 1420 OR PHYS 1425
PHYS 2419,PHYS 1429; PHYS 2415 OR PHYS 2410 (co-req)
ECE 2200,PHYS 1425 OR PHYS 1420
STS 2600,NA
STS 4500,STS 2600
STS 4600,STS 4500
CS 4458,CS 4457
CS 4501,Instructor permission
CS 4610,CS 2120 AND CS 3140
CS 4620,CS 2120 AND CS 3140
CS 4630,CS 3710
CS 4640,CS 3140
CS 4710,CS 3100
CS 4720,CS 3140
CS 4730,CS 3140
CS 4740,CS 3140
CS 4750,CS 2120 AND CS 3140
CS 4753,CS 3140
CS 4760,CS 3710
CS 4770,CS 3100 AND APMA 3080
CS 4771,CS 2100
CS 4774,CS 3100 AND APMA 3100 AND MATH 3350 OR APMA 3080
CS 4780,CS 3100 AND APMA 3100
CS 4810,CS 3100 AND CS 3130